"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","RS",-0.111318521058656,0.00589880070946356,-18.8713819200682,1.97856639564584e-79,NA,"***",3580639
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","ID015F",-0.0410122421497985,0.00154859733746154,-26.483477116799,1.55508741789685e-154,NA,"***",3580639
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","RS:ID015F",0.191580058242159,0.00980751220465798,19.5340117090214,5.70072078677697e-85,NA,"***",3580639
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","RS",-0.111318521058656,0.00589880070946356,-18.8713819200682,1.97856639564584e-79,NA,"***",3580639
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","ID015F",-0.0410122421497985,0.00154859733746154,-26.483477116799,1.55508741789685e-154,NA,"***",3580639
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","RS:ID015F",0.191580058242159,0.00980751220465798,19.5340117090214,5.70072078677697e-85,NA,"***",3580639
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","RS",-0.115908232165594,0.00588923372166833,-19.68137751761,3.14718321779451e-86,NA,"***",3580639
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","ID015F",-0.035858269966244,0.00154707629511359,-23.1780876479728,7.73012665356322e-119,NA,"***",3580639
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","fund_lag",-0.00744452711226727,6.88276122398988e-05,-108.161926151373,0,NA,"***",3580639
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","RS:ID015F",0.183923798085987,0.00979344437726491,18.7802974112926,1.10425507589636e-78,NA,"***",3580639
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","RS",-0.251828566983301,0.0273336945643551,-9.21311849703998,3.16785001296323e-20,0.777377994901091,"***",3580590
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","ID015F",-0.10618290196377,0.00702867053208476,-15.1071104384623,1.45376292107446e-51,0.899260156584895,"***",3580590
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","RS:ID015F",0.464925406798634,0.0438126185459384,10.6116781472705,2.62982694913362e-26,1.59189543988112,"***",3580590
"All_Hit15_baseline_lag_sample","All","Hit15","logit","baseline_lag_sample","RS",-0.251828566983301,0.0273336945643551,-9.21311849703998,3.16785001296323e-20,0.777377994901091,"***",3580590
"All_Hit15_baseline_lag_sample","All","Hit15","logit","baseline_lag_sample","ID015F",-0.10618290196377,0.00702867053208476,-15.1071104384623,1.45376292107446e-51,0.899260156584895,"***",3580590
"All_Hit15_baseline_lag_sample","All","Hit15","logit","baseline_lag_sample","RS:ID015F",0.464925406798634,0.0438126185459384,10.6116781472705,2.62982694913362e-26,1.59189543988112,"***",3580590
"All_Hit15_plus_fund_lag","All","Hit15","logit","plus_fund_lag","RS",-0.267177485994926,0.027366283822483,-9.76301670069736,1.62255528926966e-22,0.765537187277624,"***",3580590
"All_Hit15_plus_fund_lag","All","Hit15","logit","plus_fund_lag","ID015F",-0.0894007462796939,0.00703487866574313,-12.7082143882648,5.32361763902656e-37,0.914479026065528,"***",3580590
"All_Hit15_plus_fund_lag","All","Hit15","logit","plus_fund_lag","fund_lag",-0.0231751440903827,0.000299896599770464,-77.2771152061094,0,0.977091337012601,"***",3580590
"All_Hit15_plus_fund_lag","All","Hit15","logit","plus_fund_lag","RS:ID015F",0.444326337387567,0.0438341017731722,10.1365448227231,3.80313972275827e-24,1.55943930594302,"***",3580590
"NSF_NC_baseline_full_sample","NSF","NC","ols","baseline_full_sample","RS",-0.20422398575549,0.0127375574417649,-16.0332141141805,7.65783769450727e-58,NA,"***",754005
"NSF_NC_baseline_full_sample","NSF","NC","ols","baseline_full_sample","ID015F",-0.0354075727549773,0.00379511986216523,-9.32976402352052,1.0637989624001e-20,NA,"***",754005
