"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","RS",-0.109329777392125,0.00591568047441264,-18.4813527141998,2.94535776830102e-76,NA,"***",3113311
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","ID015F",-0.0457351948105225,0.00184117356032587,-24.8402409180957,3.39935926300527e-136,NA,"***",3113311
"All_NC_baseline_full_sample","All","NC","ols","baseline_full_sample","RS:ID015F",0.187755754799424,0.0113962428850662,16.475232819534,5.56057569897186e-61,NA,"***",3113311
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","RS",-0.109329777392125,0.00591568047441264,-18.4813527141998,2.94535776830102e-76,NA,"***",3113311
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","ID015F",-0.0457351948105225,0.00184117356032587,-24.8402409180957,3.39935926300527e-136,NA,"***",3113311
"All_NC_baseline_lag_sample","All","NC","ols","baseline_lag_sample","RS:ID015F",0.187755754799424,0.0113962428850662,16.475232819534,5.56057569897186e-61,NA,"***",3113311
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","RS",-0.115622536261036,0.00590576664223326,-19.5779046591847,2.41483402047141e-85,NA,"***",3113311
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","ID015F",-0.0480892858987294,0.00183876405588328,-26.1530486985884,9.44825100803171e-151,NA,"***",3113311
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","fund_lag",-0.00788989177690305,7.52588857166548e-05,-104.83668076894,0,NA,"***",3113311
"All_NC_plus_fund_lag","All","NC","ols","plus_fund_lag","RS:ID015F",0.190678419087481,0.011378675923624,16.7575226122401,5.02179462505819e-63,NA,"***",3113311
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","RS",-0.258103666822337,0.027430216440488,-9.40946519260297,4.98667695689947e-21,0.772515143765586,"***",3113252
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","ID015F",-0.142128724713896,0.00870151559748743,-16.333789570513,5.67473394212889e-60,0.867509579375859,"***",3113252
"All_Hit15_baseline_full_sample","All","Hit15","logit","baseline_full_sample","RS:ID015F",0.527716761438702,0.0527160181128852,10.010558087082,1.3697762573317e-23,1.69505766590857,"***",3113252
