specification,model,family,term,estimate,std_error,statistic,p_value,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,nobs,weighted_n,cluster_n,stars
rs_interaction,pooled_hit15,binomial_logit,RSC,-0.293111296961298,0.0742100725395497,-3.94975084824351,7.82325844807633e-05,0.745939115320222,0.644962541453419,0.862724775474271,2401795,2404392,2382,***
rs_interaction,pooled_hit15,binomial_logit,ID015F,-0.0407745774578151,0.00685067666617388,-5.95190511021268,2.65039032907947e-09,0.960045521459181,0.947240835741506,0.973023299351667,2401795,2404392,2382,***
rs_interaction,pooled_hit15,binomial_logit,RSC:ID015F,0.640109344345912,0.0630678474060468,10.1495353127359,3.32944940047349e-24,1.89668826010399,1.67614474790663,2.14625041214918,2401795,2404392,2382,***
rs_interaction,pooled_nc1,ols,RSC,-0.101849332400319,0.0200121194287482,-5.08938259952656,3.8731288512969e-07,,,,2401807,2404392,2382,***
rs_interaction,pooled_nc1,ols,ID015F,-0.0122019022566466,0.00226958289468114,-5.376275211292,8.345120617809e-08,,,,2401807,2404392,2382,***
rs_interaction,pooled_nc1,ols,RSC:ID015F,0.226848390164021,0.0175529238919627,12.9236810664856,5.62272569247195e-37,,,,2401807,2404392,2382,***
rs_interaction,nsf_hit15,binomial_logit,RSC,-0.467034645693525,0.124634474117818,-3.74723485616054,0.000178794668316572,0.626858372093113,0.490996531697825,0.800314041535964,531180,532436,801,***
rs_interaction,nsf_hit15,binomial_logit,ID015F,-0.0334857214388056,0.00987677357444555,-3.39035021775169,0.000698033871486276,0.967068719482712,0.948527783833208,0.985972076033974,531180,532436,801,***
rs_interaction,nsf_hit15,binomial_logit,RSC:ID015F,0.483446903346262,0.111657705743466,4.32972270142272,1.49297220094638e-05,1.62165446590296,1.30290684136648,2.01838160894524,531180,532436,801,***
rs_interaction,nsf_nc1,ols,RSC,-0.167924524955733,0.0370545195995006,-4.53182302107072,6.74020696411757e-06,,,,531192,532436,801,***
rs_interaction,nsf_nc1,ols,ID015F,-0.0102037698177483,0.00308011679199184,-3.31278665934927,0.000965200882839987,,,,531192,532436,801,***
rs_interaction,nsf_nc1,ols,RSC:ID015F,0.181028477778561,0.0302476784753865,5.98487179523116,3.26642289557489e-09,,,,531192,532436,801,***
rs_interaction,nsfc_hit15,binomial_logit,RSC,-0.319397841440457,0.123298508314469,-2.59044367857106,0.00958523048693055,0.726586425607277,0.570602238163444,0.925211642309645,866544,867076,490,**
rs_interaction,nsfc_hit15,binomial_logit,ID015F,-0.0500647437209545,0.0189325228177972,-2.64437783610603,0.00818412432439137,0.951167840361905,0.916518993063251,0.987126581539696,866544,867076,490,**
rs_interaction,nsfc_hit15,binomial_logit,RSC:ID015F,0.697383736764655,0.118665914566269,5.87686648953604,4.18105145617424e-09,2.00849108619124,1.5916935007219,2.53443042990379,866544,867076,490,***
rs_interaction,nsfc_nc1,ols,RSC,-0.123215923074642,0.0283099198313197,-4.3523939244196,1.6406277775517e-05,,,,866558,867076,490,***
rs_interaction,nsfc_nc1,ols,ID015F,-0.017235458104246,0.00509855650919937,-3.38045838526019,0.00078157044034388,,,,866558,867076,490,***
rs_interaction,nsfc_nc1,ols,RSC:ID015F,0.251652536713084,0.0268996943156127,9.35521919916479,3.00943479870764e-19,,,,866558,867076,490,***
rs_interaction,nih_hit15,binomial_logit,RSC,-0.288965256681954,0.134491408622022,-2.1485778135767,0.0316678819721053,0.749038229024013,0.575469863718169,0.974956820352634,1004057,1004880,1091,*
rs_interaction,nih_hit15,binomial_logit,ID015F,-0.0334237099027929,0.00530909339325267,-6.29555885102174,3.06294322839033e-10,0.967128690758873,0.957117100492608,0.977245003780179,1004057,1004880,1091,***
rs_interaction,nih_hit15,binomial_logit,RSC:ID015F,0.77296839276763,0.0816069737212762,9.47184238699573,2.74950668800616e-21,2.16618681296866,1.84599554781014,2.5419158319454,1004057,1004880,1091,***
rs_interaction,nih_nc1,ols,RSC,-0.063229443046744,0.0376657155605946,-1.67870016819471,0.0934971180441041,,,,1004057,1004880,1091,+
rs_interaction,nih_nc1,ols,ID015F,-0.00737905673233829,0.00142644061334079,-5.17305569073512,2.73944921664194e-07,,,,1004057,1004880,1091,***
rs_interaction,nih_nc1,ols,RSC:ID015F,0.245596137727571,0.0189065882166847,12.989976558057,5.61504826662135e-36,,,,1004057,1004880,1091,***
