specification,model,family,term,estimate,std_error,statistic,p_value,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,nobs,weighted_n,cluster_n,stars
rs_interaction,pooled_hit15,binomial_logit,RSC,-0.278482931443949,0.0808130639621233,-3.44601377290277,0.000568921362502635,0.756931187362044,0.646051190027907,0.88684121513121,2414084,2416682,2568,***
rs_interaction,pooled_hit15,binomial_logit,ID015F,-0.0282683879912352,0.00519549427517609,-5.44094295826686,5.29992837044037e-08,0.972127424459243,0.96227831948012,0.982077336935454,2414084,2416682,2568,***
rs_interaction,pooled_hit15,binomial_logit,RSC:ID015F,0.587115255742669,0.0574449194653891,10.2204905360936,1.60526473725507e-24,1.79879186913344,1.60724770091224,2.01316336406895,2414084,2416682,2568,***
rs_interaction,pooled_nc1,ols,RSC,-0.105114755394818,0.0216151283021593,-4.86301787920995,1.2259243999946e-06,,,,2414112,2416682,2568,***
rs_interaction,pooled_nc1,ols,ID015F,-0.00789063540377953,0.00166041920037369,-4.75219474817184,2.12318848651678e-06,,,,2414112,2416682,2568,***
rs_interaction,pooled_nc1,ols,RSC:ID015F,0.218001464421471,0.0139860041754013,15.5871156398547,2.08371704416203e-52,,,,2414112,2416682,2568,***
rs_interaction,nsf_hit15,binomial_logit,RSC,-0.422160016872455,0.120474660285126,-3.5041395084521,0.000458085310427694,0.655629119278014,0.517735724625608,0.830248950574355,536282,537538,905,***
rs_interaction,nsf_hit15,binomial_logit,ID015F,-0.0211084182343219,0.00928955685591067,-2.27227396976329,0.0230699679904795,0.97911280513322,0.961446892323296,0.997103316709752,536282,537538,905,*
rs_interaction,nsf_hit15,binomial_logit,RSC:ID015F,0.450497616494194,0.120497252225215,3.73865468444204,0.000185007644159451,1.56909279770836,1.23902279717259,1.98709193522393,536282,537538,905,***
rs_interaction,nsf_nc1,ols,RSC,-0.157838903608608,0.0363120606186958,-4.34673496682099,1.53864099475298e-05,,,,536310,537538,905,***
rs_interaction,nsf_nc1,ols,ID015F,-0.00459226203052548,0.00272023471596361,-1.68818595085782,0.0917204457984876,,,,536310,537538,905,+
rs_interaction,nsf_nc1,ols,RSC:ID015F,0.168559938436647,0.0297473386373075,5.66638718481015,1.96028887350761e-08,,,,536310,537538,905,***
rs_interaction,nsfc_hit15,binomial_logit,RSC,-0.114566417085259,0.134887902791292,-0.849345380234163,0.395689136295728,0.891752708835527,0.684582095431559,1.16161801341619,868686,869188,530,""
rs_interaction,nsfc_hit15,binomial_logit,ID015F,-0.0598542104455213,0.0114850531950147,-5.21148743755947,1.87332530144201e-07,0.941901843024922,0.920935834340873,0.963345163486565,868686,869188,530,***
rs_interaction,nsfc_hit15,binomial_logit,RSC:ID015F,0.426844770568354,0.0888036878299728,4.80661086266607,1.53510373629091e-06,1.53241476738701,1.28761226055865,1.82375944314706,868686,869188,530,***
rs_interaction,nsfc_nc1,ols,RSC,-0.0662713634963163,0.0316688078332157,-2.09263840449364,0.0368573284805539,,,,868688,869188,530,*
rs_interaction,nsfc_nc1,ols,ID015F,-0.0199958362889633,0.00301318712874253,-6.63610835789944,7.98700275488665e-11,,,,868688,869188,530,***
rs_interaction,nsfc_nc1,ols,RSC:ID015F,0.177787787672635,0.0190584946474496,9.3285325499948,2.92461065754065e-19,,,,868688,869188,530,***
rs_interaction,nih_hit15,binomial_logit,RSC,-0.514323482782956,0.145043030740479,-3.54600617594112,0.000391117040643539,0.597904950819235,0.4499549451882,0.794502503055337,1009114,1009956,1133,***
rs_interaction,nih_hit15,binomial_logit,ID015F,-0.00691417296654082,0.00501317392011998,-1.37920069734491,0.167832883132621,0.993109674932877,0.983399341273981,1.0029158908807,1009114,1009956,1133,""
rs_interaction,nih_hit15,binomial_logit,RSC:ID015F,0.878810008500513,0.0884901929049629,9.9311571107585,3.04698900436498e-23,2.4080324625967,2.02459408863069,2.86409032481239,1009114,1009956,1133,***
rs_interaction,nih_nc1,ols,RSC,-0.146714185501152,0.0412483867202778,-3.55684663490189,0.000390850161207811,,,,1009114,1009956,1133,***
rs_interaction,nih_nc1,ols,ID015F,0.00124909711433823,0.00128324780855144,0.973387295902137,0.330568798854468,,,,1009114,1009956,1133,""
rs_interaction,nih_nc1,ols,RSC:ID015F,0.29467950458711,0.020994573238432,14.035984501351,2.22621994475328e-41,,,,1009114,1009956,1133,***
